Job ID: 27788185
Node:   spartan-gpgpu171
GPU:    0
GPU 0: NVIDIA H100 80GB HBM3 (UUID: GPU-70ecc709-6022-7e09-50b0-e2070472848f)
cuda: True NVIDIA H100 80GB HBM3
Start:  Tue 21 Jul 2026 18:05:03 AEST
device=cuda, model=conductance, nofruns=1, nofsteps=1000, lrs=[0.1], nparams=112, fname=training_with_Ih.npy, outdir=/home/yitai/drosophila_vision/temporal_filtering/SimulationCode/0trained/conductance/27788185-train-target-spot-syn-strength-fixed-all-network-right_min_neuron1_extent3

round 0

step 209: cost=169.1293  [spot_bright=103.2650  spot_dark=65.8642]
step 210: cost=169.1309  [spot_bright=103.2539  spot_dark=65.8770]
step 211: cost=169.1482  [spot_bright=103.2508  spot_dark=65.8975]
step 212: cost=169.1891  [spot_bright=103.2458  spot_dark=65.9433]
step 213: cost=169.2834  [spot_bright=103.2313  spot_dark=66.0521]
step 214: cost=169.4224  [spot_bright=103.2055  spot_dark=66.2168]
step 215: cost=169.5607  [spot_bright=103.1728  spot_dark=66.3879]
step 216: cost=169.6647  [spot_bright=103.1415  spot_dark=66.5232]
step 217: cost=169.7432  [spot_bright=103.1194  spot_dark=66.6238]
step 218: cost=169.8239  [spot_bright=103.1113  spot_dark=66.7126]
step 219: cost=169.9226  [spot_bright=103.1165  spot_dark=66.8061]
step 220: cost=170.0377  [spot_bright=103.1299  spot_dark=66.9079]
step 221: cost=170.1740  [spot_bright=103.1486  spot_dark=67.0253]
step 222: cost=170.3333  [spot_bright=103.1745  spot_dark=67.1588]
step 223: cost=170.4836  [spot_bright=103.2111  spot_dark=67.2725]
step 224: cost=170.5940  [spot_bright=103.2643  spot_dark=67.3297]
step 225: cost=170.4214  [spot_bright=103.6181  spot_dark=66.8033]
step 226: cost=171.0474  [spot_bright=103.3293  spot_dark=67.7180]
step 227: cost=171.2562  [spot_bright=103.3673  spot_dark=67.8889]
step 228: cost=171.2762  [spot_bright=104.3313  spot_dark=66.9449]
step 229: cost=172.3262  [spot_bright=103.3069  spot_dark=69.0193]
step 230: cost=172.8128  [spot_bright=103.2663  spot_dark=69.5465]
step 231: cost=172.7730  [spot_bright=105.1059  spot_dark=67.6671]
step 232: cost=174.1832  [spot_bright=103.0440  spot_dark=71.1392]
step 233: cost=173.8025  [spot_bright=103.1078  spot_dark=70.6947]
step 234: cost=173.1971  [spot_bright=105.2862  spot_dark=67.9109]
step 235: cost=172.7237  [spot_bright=103.4947  spot_dark=69.2291]
step 236: cost=174.5282  [spot_bright=102.9253  spot_dark=71.6029]
step 237: cost=172.3150  [spot_bright=104.3569  spot_dark=67.9581]
step 238: cost=172.3905  [spot_bright=104.4480  spot_dark=67.9426]
