edge_idx,src_node,tar_node,source_cell,target_cell,syn_sign,syn_strength_edge
323,2942,4213,T4b,TmY14,1,8.121148
324,8126,8712,T5a,T5a,1,1.491408
325,11631,7573,R1-6,Lai,-1,2.497795
326,7233,2958,R1-6,L2,-1,3.040187
327,5968,550,Mi1,TmY3,1,0.100000
328,7324,6197,Mi9,Tm4,-1,2.022358
329,1527,5199,Tm1,T5c,1,0.960217
330,9651,7858,T1,L2,1,0.972674
331,12565,12218,Tm9,T5d,1,1.017543
332,389,64,Mi4,T4b,-1,0.966043
333,4914,3192,Mi10,Mi14,1,0.788855
334,7228,7836,L5,Mi1,1,2.697395
335,1145,11568,Tm2,Tm21,1,1.036494
336,5360,13731,Tm1,T3,1,0.962270
337,187,11119,Mi1,Mi9,1,2.500707
338,2257,5886,T2,T2,1,1.017849
339,1479,4142,Tm4,TmY5a,1,0.100000
340,413,11218,L2,Tm4,1,6.939418
341,347,12311,Mi9,T4b,-1,1.558188
342,6079,7642,Tm5c,Mi15,-1,1.812456
343,1299,9225,R8,Tm5c,-1,0.266239
344,1006,11378,T2a,TmY9q,1,1.021233
345,11464,1949,Mi1,T4c,1,2.969018
346,4053,6909,L2,L1,1,7.624791
347,11271,7478,Tm9,T5b,1,0.965882
348,1873,13124,Mi1,T4d,1,1.041124
349,13108,2886,Tm2,T5a,1,9.967059
350,7362,6671,T2a,Tm5f,1,0.959584
351,843,6699,TmY11,TmY15,1,1.711769
352,3350,2138,L4,Tm2,1,1.713159
353,7670,12063,C3,T2,-1,0.953774
354,698,4804,R1-6,L3,-1,1.761485
355,4378,4477,Tm1,Tm21,1,0.980447
356,901,3668,Tm27,Mi4,1,0.100000
357,6113,10307,T4a,Mi9,1,0.966116
358,4496,3338,C2,Tm1,-1,9.533008
359,5743,5541,L2,L4,1,0.100000
360,9742,4044,Mi1,Mi2,1,0.100000
361,13236,5225,Lai,R1-6,-1,0.100000
362,6121,9754,Tm1,TmY9q__perp,1,0.984453
363,3400,9319,Tm2,TmY3,1,0.341428
364,988,10926,C3,T1,-1,4.295944
365,12618,6451,C2,Tm1,-1,8.740529
366,9233,1027,L2,L3,1,1.477616
367,3233,8009,Mi9,T2a,-1,2.617752
368,5527,8003,L3,C3,1,0.980286
369,8688,5147,L2,L5,1,5.394642
370,8723,7221,Tm16,TmY11,1,1.284183
371,5396,9223,L3,Tm20,1,1.012499
372,4794,7850,Mi1,T4c,1,0.999699
373,4248,4169,Mi10,Mi4,1,0.147471
374,7093,13308,Mi4,Tm27,-1,2.377400
375,1352,12835,Tm4,TmY14,1,0.100000
376,7802,450,Tm2,T5b,1,1.004479
377,10754,4942,Mi15,Mi4,1,0.232591
378,11935,6152,L3,Mi9,1,2.891966
379,3090,3763,T5a,TmY14,1,0.972050
380,752,1601,L1,Tm3,-1,5.589583
381,6240,12763,Tm21,Tm21,1,0.990473
382,13317,2127,Lawf1,T1,1,0.969776
383,6478,32,L1,L5,-1,10.000000
384,13217,524,T4c,T4c,1,7.440601
385,2164,9990,Tm1,T5c,1,1.020691
386,12470,2113,Mi9,TmY11,-1,1.025053
387,11039,1918,T2,TmY5a,1,0.957102
388,9277,11988,Tm1,Tm21,1,3.796801
389,10606,5778,Mi1,T4c,1,0.971548
390,5732,2592,C2,Mi1,-1,0.559040
391,11157,1453,Mi4,Tm1,-1,1.296525
392,1241,8478,Tm3,T3,1,1.025124
393,1551,1553,Mi9,Mi10,-1,3.175171
394,12401,5259,L1,L2,-1,0.138560
395,4306,5183,L5,L2,1,2.100493
396,7907,8121,R1-6,L2,-1,3.814046
