panel,cell,time_s,amplitude
4B,Mi4,1.4907597535934292,0.09510086455331412
4B,Mi4,1.4938398357289526,0.09510086455331412
4B,Mi4,1.4969199178644763,0.09510086455331412
4B,Mi4,1.5,0.0936599423631124
4B,Mi4,1.5030800821355235,0.09221902017291066
4B,Mi4,1.5061601642710472,0.09221902017291066
4B,Mi4,1.5092402464065708,0.09221902017291066
4B,Mi4,1.5123203285420943,0.09221902017291066
4B,Mi4,1.515400410677618,0.09221902017291066
4B,Mi4,1.5184804928131417,0.09077809798270893
4B,Mi4,1.5215605749486651,0.0893371757925072
4B,Mi4,1.5246406570841888,0.0893371757925072
4B,Mi4,1.5277207392197125,0.08789625360230548
4B,Mi4,1.530800821355236,0.08645533141210375
4B,Mi4,1.5338809034907597,0.08645533141210375
4B,Mi4,1.5369609856262834,0.08645533141210375
4B,Mi4,1.540041067761807,0.08501440922190202
4B,Mi4,1.5431211498973305,0.08357348703170028
4B,Mi4,1.5462012320328542,0.08357348703170028
4B,Mi4,1.5492813141683779,0.08357348703170028
4B,Mi4,1.5523613963039014,0.08357348703170028
4B,Mi4,1.555441478439425,0.08357348703170028
4B,Mi4,1.5585215605749487,0.08357348703170028
4B,Mi4,1.5616016427104722,0.08357348703170028
4B,Mi4,1.5646817248459959,0.08213256484149856
4B,Mi4,1.5677618069815196,0.08213256484149856
4B,Mi4,1.570841889117043,0.08357348703170028
4B,Mi4,1.5739219712525667,0.08357348703170028
4B,Mi4,1.5770020533880904,0.08357348703170028
4B,Mi4,1.5800821355236139,0.08357348703170028
4B,Mi4,1.5831622176591376,0.08357348703170028
4B,Mi4,1.5862422997946612,0.08357348703170028
4B,Mi4,1.5893223819301847,0.08357348703170028
4B,Mi4,1.5924024640657084,0.08357348703170028
4B,Mi4,1.595482546201232,0.08357348703170028
4B,Mi4,1.5985626283367556,0.08213256484149856
4B,Mi4,1.6016427104722792,0.08069164265129683
4B,Mi4,1.604722792607803,0.08069164265129683
4B,Mi4,1.6078028747433264,0.08069164265129683
4B,Mi4,1.61088295687885,0.08069164265129683
4B,Mi4,1.6139630390143738,0.0792507204610951
4B,Mi4,1.6170431211498972,0.07780979827089338
4B,Mi4,1.620123203285421,0.07780979827089338
4B,Mi4,1.6232032854209446,0.07780979827089338
4B,Mi4,1.626283367556468,0.07636887608069164
4B,Mi4,1.6293634496919918,0.07492795389048991
4B,Mi4,1.6324435318275154,0.07492795389048991
4B,Mi4,1.635523613963039,0.07492795389048991
4B,Mi4,1.6386036960985626,0.07492795389048991
4B,Mi4,1.6416837782340863,0.07492795389048991
4B,Mi4,1.6447638603696098,0.07348703170028818
4B,Mi4,1.6478439425051334,0.07204610951008646
4B,Mi4,1.6509240246406571,0.07204610951008646
4B,Mi4,1.6540041067761806,0.07204610951008646
4B,Mi4,1.6570841889117043,0.07204610951008646
4B,Mi4,1.660164271047228,0.07204610951008646
4B,Mi4,1.6632443531827514,0.07204610951008646
4B,Mi4,1.6663244353182751,0.07204610951008646
4B,Mi4,1.6694045174537988,0.07060518731988473
4B,Mi4,1.6724845995893223,0.07060518731988473
4B,Mi4,1.675564681724846,0.069164265129683
4B,Mi4,1.6786447638603696,0.069164265129683
4B,Mi4,1.6817248459958931,0.069164265129683
4B,Mi4,1.6848049281314168,0.06628242074927954
4B,Mi4,1.6878850102669405,0.06484149855907781
4B,Mi4,1.690965092402464,0.06484149855907781
4B,Mi4,1.6940451745379876,0.06340057636887608
4B,Mi4,1.6971252566735113,0.06195965417867435
4B,Mi4,1.7002053388090348,0.06628242074927954
4B,Mi9,0.0,0.04178674351585014
4B,Mi9,0.0030800821355236874,0.04178674351585014
4B,Mi9,0.006160164271047153,0.04178674351585014
4B,Mi9,0.00924024640657084,0.04178674351585014
4B,Mi9,0.012320328542094527,0.04178674351585014
4B,Mi9,0.015400410677617993,0.04178674351585014
4B,Mi9,0.01848049281314168,0.04178674351585014
4B,Mi9,0.021560574948665368,0.04178674351585014
4B,Mi9,0.024640657084188833,0.040345821325648415
4B,Mi9,0.02772073921971252,0.03890489913544669
4B,Mi9,0.030800821355236208,0.03890489913544669
4B,Mi9,0.03388090349075967,0.04178674351585014
4B,Mi9,0.03696098562628336,0.040345821325648415
4B,Mi9,0.04004106776180705,0.040345821325648415
4B,Mi9,0.04312114989733051,0.03890489913544669
4B,Mi9,0.0462012320328542,0.037463976945244955
4B,Mi9,0.04928131416837789,0.03602305475504323
4B,Mi9,0.05236139630390135,0.0345821325648415
4B,Mi9,0.05544147843942504,0.0345821325648415
4B,Mi9,0.05852156057494873,0.0345821325648415
4B,Mi9,0.06160164271047219,0.03314121037463977
4B,Mi9,0.06468172484599588,0.03170028818443804
4B,Mi9,0.06776180698151957,0.02881844380403458
4B,Mi9,0.07084188911704303,0.027377521613832854
4B,Mi9,0.07392197125256672,0.025936599423631124
4B,Mi9,0.07700205338809041,0.027377521613832854
4B,Mi9,0.08008213552361387,0.027377521613832854
4B,Mi9,0.08316221765913756,0.027377521613832854
4B,Mi9,0.08624229979466125,0.024495677233429394
4B,Mi9,0.08932238193018471,0.024495677233429394
4B,Mi9,0.0924024640657084,0.021613832853025938
4B,Mi9,0.09548254620123209,0.018731988472622477
4B,Mi9,0.09856262833675555,0.01585014409221902
4B,Mi9,0.10164271047227924,0.012968299711815562
4B,Mi9,0.10472279260780293,0.008645533141210375
4B,Mi9,0.1078028747433264,0.005763688760806916
4B,Mi9,0.11088295687885008,0.001440922190201729
4B,Mi9,0.11396303901437377,-0.005763688760806916
4B,Mi9,0.11704312114989723,-0.010086455331412104
4B,Mi9,0.12012320328542092,-0.01729106628242075
4B,Mi9,0.12320328542094461,-0.024495677233429394
4B,Mi9,0.12628336755646807,-0.03170028818443804
4B,Mi9,0.12936344969199176,-0.04178674351585014
4B,Mi9,0.13244353182751545,-0.05187319884726225
4B,Mi9,0.1355236139630389,-0.06340057636887608
4B,Mi9,0.1386036960985626,-0.07348703170028818
4B,Mi9,0.1416837782340863,-0.08357348703170028
4B,Mi9,0.14476386036960975,-0.09654178674351585
4B,Mi9,0.14784394250513344,-0.11095100864553314
4B,Mi9,0.15092402464065713,-0.12680115273775217
4B,Mi9,0.1540041067761806,-0.14121037463976946
4B,Mi9,0.15708418891170428,-0.15561959654178675
4B,Mi9,0.16016427104722797,-0.1729106628242075
4B,Mi9,0.16324435318275143,-0.19164265129682997
4B,Mi9,0.16632443531827512,-0.21037463976945245
4B,Mi9,0.1694045174537988,-0.2276657060518732
4B,Mi9,0.17248459958932227,-0.2478386167146974
4B,Mi9,0.17556468172484596,-0.26945244956772335
4B,Mi9,0.17864476386036965,-0.29250720461095103
4B,Mi9,0.18172484599589311,-0.31556195965417866
4B,Mi9,0.1848049281314168,-0.3400576368876081
4B,Mi9,0.1878850102669405,-0.3645533141210375
4B,Mi9,0.19096509240246395,-0.38760806916426516
4B,Mi9,0.19404517453798764,-0.41210374639769454
4B,Mi9,0.19712525667351133,-0.4365994236311239
4B,Mi9,0.2002053388090348,-0.4610951008645533
4B,Mi9,0.20328542094455848,-0.48559077809798273
4B,Mi9,0.20636550308008217,-0.5086455331412104
4B,Mi9,0.20944558521560563,-0.531700288184438
4B,Mi9,0.21252566735112932,-0.5561959654178674
4B,Mi9,0.215605749486653,-0.5778097982708934
4B,Mi9,0.21868583162217647,-0.5994236311239193
4B,Mi9,0.22176591375770016,-0.622478386167147
4B,Mi9,0.22484599589322385,-0.6440922190201729
4B,Mi9,0.22792607802874731,-0.6642651296829971
4B,Mi9,0.231006160164271,-0.6829971181556196
4B,Mi9,0.2340862422997947,-0.7031700288184438
4B,Mi9,0.23716632443531815,-0.7247838616714697
4B,Mi9,0.24024640657084184,-0.7449567723342939
4B,Mi9,0.24332648870636553,-0.7651296829971181
4B,Mi9,0.246406570841889,-0.7824207492795389
4B,Mi9,0.24948665297741268,-0.7968299711815562
4B,Mi9,0.25256673511293637,-0.8126801152737753
4B,Mi9,0.25564681724845983,-0.829971181556196
4B,Mi9,0.2587268993839835,-0.845821325648415
4B,Mi9,0.2618069815195072,-0.8587896253602305
4B,Mi9,0.2648870636550307,-0.8703170028818443
4B,Mi9,0.26796714579055436,-0.8818443804034583
4B,Mi9,0.27104722792607805,-0.8933717579250721
4B,Mi9,0.2741273100616015,-0.9048991354466859
4B,Mi9,0.2772073921971252,-0.9164265129682997
4B,Mi9,0.2802874743326489,-0.9236311239193083
4B,Mi9,0.28336755646817235,-0.930835734870317
4B,Mi9,0.28644763860369604,-0.9394812680115274
4B,Mi9,0.28952772073921973,-0.9481268011527377
4B,Mi9,0.2926078028747432,-0.9553314121037464
4B,Mi9,0.2956878850102669,-0.9610951008645533
4B,Mi9,0.29876796714579057,-0.9654178674351584
4B,Mi9,0.30184804928131403,-0.9697406340057637
4B,Mi9,0.3049281314168377,-0.9755043227665706
4B,Mi9,0.3080082135523614,-0.9798270893371758
4B,Mi9,0.3110882956878849,-0.984149855907781
4B,Mi9,0.31416837782340856,-0.9870317002881844
4B,Mi9,0.31724845995893225,-0.9899135446685879
4B,Mi9,0.3203285420944557,-0.9927953890489913
4B,Mi9,0.3234086242299794,-0.9942363112391931
4B,Mi9,0.3264887063655031,-0.9971181556195965
4B,Mi9,0.32956878850102655,-0.9985590778097982
4B,Mi9,0.33264887063655024,-1.0
4B,Mi9,0.33572895277207393,-1.0
4B,Mi9,0.3388090349075974,-1.0
4B,Mi9,0.3418891170431211,-1.0
4B,Mi9,0.34496919917864477,-1.0
4B,Mi9,0.34804928131416824,-1.0
4B,Mi9,0.3511293634496919,-1.0
4B,Mi9,0.3542094455852156,-0.9985590778097982
4B,Mi9,0.3572895277207391,-0.9971181556195965
4B,Mi9,0.36036960985626276,-0.9956772334293948
4B,Mi9,0.36344969199178645,-0.9942363112391931
4B,Mi9,0.3665297741273099,-0.9927953890489913
4B,Mi9,0.3696098562628336,-0.9927953890489913
4B,Mi9,0.3726899383983573,-0.9899135446685879
4B,Mi9,0.375770020533881,-0.9884726224783862
4B,Mi9,0.37885010266940444,-0.9870317002881844
4B,Mi9,0.38193018480492813,-0.984149855907781
4B,Mi9,0.3850102669404518,-0.9827089337175793
4B,Mi9,0.3880903490759753,-0.9798270893371758
4B,Mi9,0.39117043121149897,-0.9769452449567724
4B,Mi9,0.39425051334702266,-0.9740634005763689
4B,Mi9,0.3973305954825461,-0.9711815561959655
4B,Mi9,0.4004106776180698,-0.9668587896253602
4B,Mi9,0.4034907597535935,-0.9639769452449568
4B,Mi9,0.40657084188911696,-0.9610951008645533
4B,Mi9,0.40965092402464065,-0.9567723342939481
4B,Mi9,0.41273100616016434,-0.9538904899135446
4B,Mi9,0.4158110882956878,-0.9481268011527377
4B,Mi9,0.4188911704312115,-0.9452449567723343
4B,Mi9,0.4219712525667352,-0.9394812680115274
4B,Mi9,0.42505133470225864,-0.9351585014409222
4B,Mi9,0.42813141683778233,-0.930835734870317
4B,Mi9,0.431211498973306,-0.9265129682997119
4B,Mi9,0.4342915811088295,-0.9221902017291066
4B,Mi9,0.43737166324435317,-0.9178674351585014
4B,Mi9,0.44045174537987686,-0.9135446685878963
4B,Mi9,0.4435318275154003,-0.9077809798270894
4B,Mi9,0.446611909650924,-0.9048991354466859
4B,Mi9,0.4496919917864477,-0.899135446685879
4B,Mi9,0.45277207392197116,-0.8962536023054755
4B,Mi9,0.45585215605749485,-0.8919308357348703
4B,Mi9,0.45893223819301854,-0.8890489913544669
4B,Mi9,0.462012320328542,-0.8847262247838616
4B,Mi9,0.4650924024640657,-0.8804034582132565
4B,Mi9,0.4681724845995894,-0.877521613832853
4B,Mi9,0.47125256673511284,-0.8746397694524496
4B,Mi9,0.47433264887063653,-0.8703170028818443
4B,Mi9,0.4774127310061602,-0.8659942363112392
4B,Mi9,0.4804928131416837,-0.8631123919308358
4B,Mi9,0.48357289527720737,-0.8587896253602305
4B,Mi9,0.48665297741273106,-0.8559077809798271
4B,Mi9,0.4897330595482545,-0.8515850144092219
4B,Mi9,0.4928131416837782,-0.8472622478386167
4B,Mi9,0.4958932238193019,-0.8443804034582133
4B,Mi9,0.49897330595482536,-0.8386167146974063
4B,Mi9,0.502053388090349,-0.8357348703170029
4B,Mi9,0.5051334702258727,-0.829971181556196
4B,Mi9,0.5082135523613962,-0.8256484149855908
4B,Mi9,0.5112936344969199,-0.8213256484149856
4B,Mi9,0.5143737166324436,-0.8170028818443804
4B,Mi9,0.517453798767967,-0.8126801152737753
4B,Mi9,0.5205338809034907,-0.80835734870317
4B,Mi9,0.5236139630390144,-0.8040345821325648
4B,Mi9,0.5266940451745379,-0.7982708933717579
4B,Mi9,0.5297741273100616,-0.7953890489913544
4B,Mi9,0.5328542094455853,-0.7910662824207493
4B,Mi9,0.5359342915811087,-0.7867435158501441
4B,Mi9,0.5390143737166324,-0.7838616714697406
4B,Mi9,0.5420944558521561,-0.7795389048991355
4B,Mi9,0.5451745379876796,-0.776657060518732
4B,Mi9,0.5482546201232033,-0.7737752161383286
4B,Mi9,0.5513347022587269,-0.7680115273775217
4B,Mi9,0.5544147843942504,-0.7651296829971181
