type,root_id,n_partners,n_partners_with_column,majority_column_id,votes
R1-6,720575940639747918,3,3,162,3
R1-6,720575940646802211,3,3,162,3
R1-6,720575940607744201,2,1,163,1
R1-6,720575940635557527,2,2,163,2
R1-6,720575940611945058,2,2,164,2
R1-6,720575940613230821,3,3,164,3
R1-6,720575940618436595,3,3,164,3
R1-6,720575940626009383,2,2,164,2
R1-6,720575940626999652,3,3,164,3
R1-6,720575940627921277,3,3,164,3
R1-6,720575940628764156,3,3,164,3
R1-6,720575940631844549,3,3,164,3
R1-6,720575940606311200,5,4,165,4
R1-6,720575940615648662,4,4,165,4
R1-6,720575940625021769,4,3,165,3
R1-6,720575940626836175,4,3,165,3
R1-6,720575940632845127,5,4,165,4
R1-6,720575940636266232,5,4,165,4
R1-6,720575940605758688,4,3,166,3
R1-6,720575940622631551,4,3,166,3
R1-6,720575940624923829,4,3,166,3
R1-6,720575940625364972,4,3,166,3
R1-6,720575940628290437,3,3,166,3
R1-6,720575940650543737,3,3,166,3
R1-6,720575940622978074,4,3,168,3
R1-6,720575940623524317,4,3,168,3
R1-6,720575940637587854,4,3,168,3
R1-6,720575940640516259,4,3,168,3
R1-6,720575940646366574,4,3,168,3
R1-6,720575940622826454,4,3,170,3
R1-6,720575940624081130,3,3,170,3
R1-6,720575940624557129,4,3,170,3
R1-6,720575940625053844,4,3,170,3
R1-6,720575940628819953,3,3,170,3
R1-6,720575940630630135,3,3,170,3
R1-6,720575940640028275,3,3,170,3
R1-6,720575940615249831,3,3,172,3
R1-6,720575940623031134,3,3,172,3
R1-6,720575940628739048,3,3,172,3
R1-6,720575940606400358,3,3,176,3
R1-6,720575940624288138,3,3,176,3
R1-6,720575940631000064,3,3,176,3
R1-6,720575940632998959,5,3,176,3
R1-6,720575940625728487,4,3,177,3
R1-6,720575940630701056,3,3,177,3
R1-6,720575940632464232,5,3,177,3
R1-6,720575940633576749,4,3,177,3
R1-6,720575940634530018,3,3,177,3
R1-6,720575940635485591,4,3,177,3
R1-6,720575940635486103,3,3,177,3
R1-6,720575940638890559,4,3,177,3
R1-6,720575940614706686,6,4,178,4
R1-6,720575940621487195,4,3,178,3
R1-6,720575940622650629,4,3,178,3
R1-6,720575940632262186,4,3,178,3
R1-6,720575940635254624,4,3,178,3
R1-6,720575940604621251,3,3,181,3
R1-6,720575940607967874,3,3,181,3
R1-6,720575940611444782,3,3,181,3
R1-6,720575940625316937,4,3,181,1
R1-6,720575940628867527,3,3,181,3
R1-6,720575940630873404,3,3,181,3
R1-6,720575940636509944,3,3,181,3
R1-6,720575940618892317,3,3,186,3
R1-6,720575940624318916,3,3,186,3
R1-6,720575940640618867,3,3,186,3
R1-6,720575940660940673,3,3,186,3
R1-6,720575940661030017,3,3,186,3
R1-6,720575940609348873,3,3,187,3
R1-6,720575940616649996,4,4,187,4
R1-6,720575940618168281,4,4,187,4
R1-6,720575940624868791,3,3,187,3
R1-6,720575940609496073,3,3,188,3
R1-6,720575940630475134,3,3,188,3
R1-6,720575940631787095,3,3,188,3
R1-6,720575940619021595,4,4,189,4
R1-6,720575940623720717,3,3,189,3
R1-6,720575940622159286,4,3,192,3
R1-6,720575940635686810,3,3,192,3
R1-6,720575940616826310,3,3,193,3
R1-6,720575940618799773,3,3,193,3
R1-6,720575940620740555,3,3,193,3
R1-6,720575940622319732,3,3,193,3
R1-6,720575940632172867,4,4,193,4
R1-6,720575940606640230,3,3,195,3
R1-6,720575940614874110,4,3,195,3
R1-6,720575940619270725,4,3,195,3
R1-6,720575940622518789,3,3,195,3
R1-6,720575940625718972,3,3,195,3
R1-6,720575940626585188,4,3,195,3
R1-6,720575940628762901,4,3,195,3
R1-6,720575940630922102,3,3,195,3
R1-6,720575940615410850,4,3,196,3
R1-6,720575940624249638,3,3,196,3
R1-6,720575940624884231,4,3,196,3
R1-6,720575940627378178,3,3,196,3
R1-6,720575940633515940,4,3,196,3
R1-6,720575940645857303,4,3,196,3
R1-6,720575940614774703,6,4,198,4
R1-6,720575940617458549,5,3,198,3
R1-6,720575940621007636,4,3,198,3
R1-6,720575940624827399,5,4,198,4
R1-6,720575940632179531,5,4,198,4
R1-6,720575940632751672,5,4,198,4
R1-6,720575940614575023,3,2,200,2
R1-6,720575940620483633,2,1,200,1
R1-6,720575940630778167,2,1,200,1
R1-6,720575940660914049,3,2,200,2
R1-6,720575940606192318,2,2,201,2
R1-6,720575940621242459,2,2,201,2
R1-6,720575940625723431,3,3,201,3
R1-6,720575940632752953,3,3,201,3
R1-6,720575940640457048,2,2,201,2
R1-6,720575940609214556,3,3,202,3
R1-6,720575940617924870,3,3,202,3
R1-6,720575940618412774,3,3,202,3
R1-6,720575940619721083,3,3,202,3
R1-6,720575940613424042,5,4,203,4
R1-6,720575940615071027,4,3,203,3
R1-6,720575940620590928,4,3,203,3
R1-6,720575940625035081,5,4,203,4
R1-6,720575940627036734,5,4,203,4
R1-6,720575940627524185,4,3,203,3
R1-6,720575940637511822,5,4,203,4
R1-6,720575940655705761,3,3,203,3
R1-6,720575940609323017,4,3,204,3
R1-6,720575940615135919,8,1,204,1
R1-6,720575940622198388,4,3,204,3
R1-6,720575940622198644,5,4,204,4
R1-6,720575940622524912,6,4,204,4
R1-6,720575940623483357,6,3,204,3
R1-6,720575940625743800,4,3,204,3
R1-6,720575940627002468,4,3,204,3
R1-6,720575940629005898,5,3,204,3
R1-6,720575940606533152,4,3,206,3
R1-6,720575940627051210,4,3,206,3
R1-6,720575940628132922,3,3,206,3
R1-6,720575940628301138,4,4,206,4
R1-6,720575940630934828,4,4,206,4
R1-6,720575940633885613,4,3,206,3
R1-6,720575940622260918,2,2,207,2
R1-6,720575940640272693,3,3,207,2
R1-6,720575940612298702,2,2,210,2
R1-6,720575940612298958,3,3,210,3
R1-6,720575940613768562,3,3,210,3
R1-6,720575940624857527,3,3,210,3
R1-6,720575940631998795,3,3,210,3
R1-6,720575940635217248,3,3,210,3
R1-6,720575940607168457,3,3,211,3
R1-6,720575940618198941,3,3,211,3
R1-6,720575940618263892,2,2,211,2
R1-6,720575940619291446,2,2,211,2
R1-6,720575940621332833,4,3,211,3
R1-6,720575940621481837,2,2,211,2
R1-6,720575940625156327,2,2,211,2
R1-6,720575940647815556,2,2,211,2
R1-6,720575940614643409,3,3,214,3
R1-6,720575940618628130,4,3,214,3
R1-6,720575940619257669,3,3,214,3
R1-6,720575940624299411,3,3,214,3
R1-6,720575940628310405,3,3,214,3
R1-6,720575940629572507,5,3,214,3
R1-6,720575940632162115,3,3,214,3
R1-6,720575940611399982,4,3,215,3
R1-6,720575940617337973,3,3,215,3
R1-6,720575940617551190,4,4,215,4
R1-6,720575940619070021,4,4,215,4
R1-6,720575940620548056,3,3,215,3
R1-6,720575940623185996,5,4,215,4
R1-6,720575940607735241,4,3,216,3
R1-6,720575940613548714,4,3,216,3
R1-6,720575940623118038,4,3,216,3
R1-6,720575940631587927,4,3,216,3
R1-6,720575940661106561,5,4,216,4
R1-6,720575940610922308,7,4,217,3
R1-6,720575940618866516,4,4,217,4
R1-6,720575940608218290,5,3,218,3
R1-6,720575940617943046,4,3,218,3
R1-6,720575940619685686,4,3,218,3
R1-6,720575940623367389,5,4,218,4
R1-6,720575940631441014,4,3,218,3
R1-6,720575940640559704,4,3,218,3
R1-6,720575940615379858,4,2,219,2
R1-6,720575940618151773,4,2,219,2
R1-6,720575940622127024,4,2,219,2
R1-6,720575940631014359,3,2,219,2
R1-6,720575940640955776,4,2,219,2
R1-6,720575940640994176,4,2,219,2
R1-6,720575940613229938,2,2,221,2
R1-6,720575940618981917,3,3,221,3
R1-6,720575940626412325,3,3,221,3
R1-6,720575940629936890,3,3,221,3
R1-6,720575940630984054,3,3,221,3
R1-6,720575940634665628,3,3,221,3
R1-6,720575940640718464,3,3,221,3
R1-6,720575940612610197,2,2,222,2
R1-6,720575940618628386,3,3,222,3
R1-6,720575940618883357,3,3,222,3
R1-6,720575940624886199,3,3,222,3
R1-6,720575940632950831,3,3,222,3
R1-6,720575940635870815,2,2,222,2
R1-6,720575940615399314,3,3,223,3
R1-6,720575940621083557,3,3,223,3
