raw_type,n_neurons,resolved_type,param_source,fallback_target,dominant_nt
DNp31,1,DNp31,nt:acetylcholine,,acetylcholine
DNpe053,1,DNpe053,nt:acetylcholine,,acetylcholine
H2,1,H2,nt:acetylcholine,,acetylcholine
HSE,1,HSE,nt:acetylcholine,,acetylcholine
HSN,1,HSN,nt:acetylcholine,,acetylcholine
HSS,1,HSS,nt:acetylcholine,,acetylcholine
LAL047,1,LAL047,nt:gaba,,gaba
LC31c,1,LC31c,nt:acetylcholine,,acetylcholine
LHPV2i2a,1,LHPV2i2a,nt:acetylcholine,,acetylcholine
LNd_CRY+_ITP+,1,LNd_CRY+_ITP+,nt:glutamate,,glutamate
LPT04_HST,1,LPT04_HST,nt:acetylcholine,,acetylcholine
LPT21,1,LPT21,nt:acetylcholine,,acetylcholine
LPT22,1,LPT22,nt:gaba,,gaba
LPT26,1,LPT26,nt:acetylcholine,,acetylcholine
LPT27,1,LPT27,nt:acetylcholine,,acetylcholine
LPT28,1,LPT28,nt:acetylcholine,,acetylcholine
LPT29,1,LPT29,nt:acetylcholine,,acetylcholine
LPT30,1,LPT30,nt:acetylcholine,,acetylcholine
LPT42_Nod4,1,LPT42_Nod4,nt:acetylcholine,,acetylcholine
LPT47_vCal2,1,LPT47_vCal2,nt:glutamate,,glutamate
LPT48_vCal3,1,LPT48_vCal3,nt:acetylcholine,,acetylcholine
LPT49,1,LPT49,nt:acetylcholine,,acetylcholine
LPT51,1,LPT51,nt:glutamate,,glutamate
LPT52,1,LPT52,nt:acetylcholine,,acetylcholine
LPT53,1,LPT53,nt:gaba,,gaba
LPT54,1,LPT54,nt:acetylcholine,,acetylcholine
LPT57,1,LPT57,nt:acetylcholine,,acetylcholine
LPT58,1,LPT58,nt:acetylcholine,,acetylcholine
LPi12,1,LPi12,nt:gaba,,gaba
LPi13,1,LPi13,nt:gaba,,gaba
LPi15,1,LPi15,nt:gaba,,gaba
LT11,1,LT11,nt:gaba,,gaba
LT1a,1,LT1a,nt:acetylcholine,,acetylcholine
LT1b,1,LT1b,nt:acetylcholine,,acetylcholine
LT1c,1,LT1c,nt:acetylcholine,,acetylcholine
LT1d,1,LT1d,nt:acetylcholine,,acetylcholine
LT33,1,LT33,nt:gaba,,gaba
LT34,1,LT34,nt:gaba,,gaba
LT36,1,LT36,nt:gaba,,gaba
LT37,1,LT37,nt:gaba,,gaba
LT39,1,LT39,nt:gaba,,gaba
LT40,1,LT40,nt:gaba,,gaba
LT41,1,LT41,nt:gaba,,gaba
LT42,1,LT42,nt:gaba,,gaba
LT47,1,LT47,nt:acetylcholine,,acetylcholine
LT56,1,LT56,nt:glutamate,,glutamate
LT58,1,LT58,nt:glutamate,,glutamate
LT59,1,LT59,nt:acetylcholine,,acetylcholine
LT60,1,LT60,nt:acetylcholine,,acetylcholine
LT61a,1,LT61a,nt:acetylcholine,,acetylcholine
LT61b,1,LT61b,nt:acetylcholine,,acetylcholine
LT62,1,LT62,nt:acetylcholine,,acetylcholine
LT65,1,LT65,nt:acetylcholine,,acetylcholine
LT67,1,LT67,nt:acetylcholine,,acetylcholine
