t,ms,cost_t,gt_aff_mean,gt_mean,sel_mean,SSE_t,POWER_t
155,775,3.8307777350,-0.5334996438,-2.9121082925,-1.9244733963e-09,73.4618686607,1917.6750451899
156,780,3.4276256062,-0.4973140694,-2.8738916482,-1.8769455845e-09,64.0168254356,1867.6726337568
157,785,3.0425569955,-0.4616033713,-2.8361765347,-1.8305915574e-09,55.3433209885,1818.9740100303
158,790,2.6764400470,-0.4263613175,-2.7989563702,-1.7853823257e-09,47.4143446055,1771.5451784022
159,795,2.3301712539,-0.3915817578,-2.7622246593,-1.7412896161e-09,40.2036803258,1725.3530296828
160,800,2.0046762850,-0.3572586229,-2.7259749919,-1.6982858537e-09,33.6858850316,1680.3653179879
161,805,1.7009108350,-0.3233859228,-2.6902010419,-1.6563441443e-09,27.8362671252,1636.5506382283
162,810,1.4198614975,-0.2899577463,-2.6548965662,-1.6154382582e-09,22.6308657772,1593.8784041868
163,815,1.1625466634,-0.2569682597,-2.6200554040,-1.5755426136e-09,18.0464307312,1552.3188271665
164,820,0.9300174439,-0.2244117061,-2.5856714748,-1.5366322603e-09,14.0604026496,1511.8428951956
165,825,0.7233586183,-0.1922824038,-2.5517387783,-1.4986828645e-09,10.6508939871,1472.4223527750
166,830,0.5436896098,-0.1605747460,-2.5182513927,-1.4616706932e-09,7.7966703776,1434.0296811535
167,835,0.3921654867,-0.1292831991,-2.4852034742,-1.4255725997e-09,5.4771325201,1396.6380791173
168,840,0.2699779927,-0.0984023024,-2.4525892554,-1.3903660090e-09,3.6722985518,1360.2214442811
169,845,0.1783566052,-0.0679266669,-2.4204030447,-1.3560289036e-09,2.3627868950,1324.7543548659
170,850,0.1185696228,-0.0378509740,-2.3886392252,-1.3225398096e-09,1.5297995639,1290.2120519528
171,855,0.0919252834,-0.0081699753,-2.3572922537,-1.2898777838e-09,1.1551059218,1256.5704221994
172,860,0.0997729128,0.0211215089,-2.3263566598,-1.2580224001e-09,1.2210268744,1223.8059810063
173,865,0.1435041057,0.0500285905,-2.2958270449,-1.2269537367e-09,1.7104194888,1191.8958561235
174,870,0.2245539386,0.0785563141,-2.2656980810,-1.1966523641e-09,2.6066620265,1160.8177716833
175,875,0.3444022173,0.1067096581,-2.2359645104,-1.1670993326e-09,3.8936393799,1130.5500326499
176,880,0.5045747576,0.1344935356,-2.2066211441,-1.1382761603e-09,5.5557289013,1101.0715096749
177,885,0.7066447028,0.1619127954,-2.1776628614,-1.1101648220e-09,7.5777866134,1072.3616243467
178,890,0.9522338763,0.1889722223,-2.1490846086,-1.0827477376e-09,9.9451337928,1044.4003348258
179,895,1.2430141727,0.2156765386,-2.1208813985,-1.0560077612e-09,12.6435439149,1017.1681218532
180,900,1.5807089863,0.2420304046,-2.0930483093,-1.0299281702e-09,15.6592299514,990.6459751250
181,905,1.9670946799,0.2680384193,-2.0655804837,-1.0044926554e-09,18.9788320111,964.8153800213
182,910,2.4040020934,0.2937051215,-2.0384731283,-9.7968530988e-10,22.5894053150,939.6583046816
183,915,2.8933180944,0.3190349903,-2.0117215125,-9.5549061999e-10,26.4784084962,915.1571874172
184,920,3.4369871718,0.3440324462,-1.9853209677,-9.3189345504e-10,30.6336922162,891.2949244514
185,925,4.0370130722,0.3687018514,-1.9592668867,-9.0887905808e-10,35.0434880905,868.0548579801
186,930,4.6954604828,0.3930475112,-1.9335547229,-8.8643303659e-10,39.6963979123,845.4207645428
187,935,5.4144567596,0.4170736742,-1.9081799890,-8.6454135353e-10,44.5813831703,823.3768436977
188,940,6.1961937035,0.4407845331,-1.8831382568,-8.4319031853e-10,49.6877548488,801.9077069916
189,945,7.0429293857,0.4641842259,-1.8584251563,-8.2236657932e-10,55.0051635063,780.9983672173
190,950,7.9569900220,0.4872768362,-1.8340363748,-8.0205711343e-10,60.5235896217,760.6342279519
