cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
TmY3,720575940633090526,39,30,"7, 6, 5, 4, 3, 3, 1, 1",712,-12.667,-12,-14,14.133,15,13,14.133,15.0,13.0,-5.6,-4.5,-7.5
TmY3,720575940619416187,37,29,"7, 6, 4, 4, 3, 2, 1, 1, 1",714,-1.414,0,-2,-9.724,-8,-11,-9.724,-8.0,-11.0,-6.276,-5.0,-7.5
TmY3,720575940641690331,31,23,"7, 5, 4, 3, 2, 1, 1",715,-0.652,0,-2,-7.565,-6,-9,-7.565,-6.0,-9.0,-4.435,-3.5,-5.5
TmY3,720575940639882611,66,49,"7, 7, 7, 6, 6, 5, 4, 3, 2, 1, 1",716,6.714,9,5,-7.612,-6,-9,-7.612,-6.0,-9.0,2.908,5.0,1.5
TmY3,720575940620075284,31,21,"6, 4, 3, 2, 2, 1, 1, 1, 1",717,13.143,15,10,-4.143,-3,-5,-4.143,-3.0,-5.0,11.071,12.5,8.5
TmY3,720575940618756429,60,45,"8, 7, 6, 6, 5, 3, 3, 2, 2, 1, 1, 1",718,-16.956,-15,-18,10.044,12,8,10.044,12.0,8.0,-11.933,-10.0,-13.0
TmY3,720575940628401224,46,32,"6, 6, 4, 3, 3, 3, 2, 1, 1, 1, 1, 1",719,-12.469,-10,-14,-2.656,1,-5,-2.656,1.0,-5.0,-13.797,-12.5,-14.5
TmY3,720575940615217002,35,27,"6, 5, 5, 5, 2, 1, 1, 1, 1",720,-15.37,-14,-17,8.593,10,8,8.593,10.0,8.0,-11.074,-9.5,-12.5
TmY3,720575940627738501,37,30,"6, 6, 4, 4, 3, 2, 1, 1, 1, 1, 1",722,14.4,17,13,-13.467,-12,-15,-13.467,-12.0,-15.0,7.667,10.5,5.5
TmY3,720575940620022987,55,41,"7, 7, 7, 7, 4, 4, 3, 1, 1",723,3.976,5,2,3.098,5,1,3.098,5.0,1.0,5.524,6.5,4.5
TmY3,720575940611862136,55,43,"7, 7, 7, 5, 5, 4, 2, 2, 2, 1, 1",724,3.488,5,2,-7.674,-5,-9,-7.674,-5.0,-9.0,-0.349,0.5,-2.0
TmY3,720575940622945789,30,16,"3, 3, 2, 2, 2, 2, 2",727,4.438,6,3,-13.875,-13,-15,-13.875,-13.0,-15.0,-2.5,-1.0,-4.0
TmY3,720575940635339406,37,31,"7, 6, 6, 3, 3, 2, 2, 1, 1",730,6.581,8,5,-14.129,-13,-15,-14.129,-13.0,-15.0,-0.484,0.5,-2.0
TmY3,720575940618980510,40,27,"6, 5, 4, 3, 3, 2, 1, 1, 1, 1",733,4.222,7,2,8.556,11,7,8.556,11.0,7.0,8.5,10.5,7.5
TmY3,720575940612768149,46,35,"7, 5, 5, 5, 4, 3, 3, 1, 1, 1",735,13.486,16,12,-3.086,-2,-5,-3.086,-2.0,-5.0,11.943,13.5,11.0
TmY3,720575940631843748,46,35,"7, 6, 6, 5, 2, 2, 2, 2, 1, 1, 1",736,-7.971,-6,-10,15.486,18,14,15.486,18.0,14.0,-0.229,1.5,-1.5
TmY3,720575940618290973,68,48,"9, 7, 7, 5, 5, 5, 3, 2, 2, 1, 1, 1",737,-8.896,-8,-11,-0.583,1,-2,-0.583,1.0,-2.0,-9.188,-8.0,-11.0
TmY3,720575940629314174,59,44,"8, 8, 7, 6, 5, 3, 2, 1, 1, 1, 1, 1",738,-8.705,-8,-11,4.909,7,3,4.909,7.0,3.0,-6.25,-5.0,-8.0
TmY3,720575940645886243,47,37,"7, 6, 6, 5, 4, 4, 2, 1, 1, 1",739,-8.135,-7,-10,14.135,16,11,14.135,16.0,11.0,-1.068,0.0,-2.5
TmY3,720575940624231679,40,31,"7, 6, 5, 4, 2, 2, 1, 1, 1, 1, 1",740,6.29,8,4,-3.774,-2,-5,-3.774,-2.0,-5.0,4.403,5.5,2.5
TmY3,720575940626895997,51,38,"7, 6, 6, 5, 5, 5, 2, 1, 1",741,5.211,7,4,3.895,5,2,3.895,5.0,2.0,7.158,8.0,6.0
TmY3,720575940623949706,53,42,"8, 7, 7, 7, 6, 3, 1, 1, 1, 1",742,-8.667,-6,-10,6.714,8,5,6.714,8.0,5.0,-5.31,-2.5,-6.5
TmY3,720575940634255842,55,41,"8, 8, 7, 5, 4, 3, 3, 1, 1, 1",747,-0.854,0,-2,0.171,2,-2,0.171,2.0,-2.0,-0.768,0.5,-3.0
TmY3,720575940642221512,45,35,"7, 6, 5, 5, 5, 2, 2, 1, 1, 1",748,-14.086,-13,-15,7.686,9,6,7.686,9.0,6.0,-10.243,-9.0,-12.0
TmY3,720575940616685457,48,34,"8, 7, 6, 4, 2, 2, 1, 1, 1, 1, 1",749,-1.529,0,-3,2.559,4,1,2.559,4.0,1.0,-0.25,1.0,-2.0
TmY3,720575940637231022,50,39,"8, 7, 6, 4, 4, 3, 2, 2, 1, 1, 1",753,-14.744,-13,-16,5.974,8,4,5.974,8.0,4.0,-11.756,-10.5,-13.0
TmY3,720575940620415168,42,31,"7, 5, 5, 4, 2, 2, 2, 1, 1, 1, 1",754,5.677,8,4,0.645,2,-1,0.645,2.0,-1.0,6.0,7.5,4.5
TmY3,720575940624400532,44,32,"9, 6, 6, 5, 2, 1, 1, 1, 1",757,3.312,5,1,0.062,1,-1,0.062,1.0,-1.0,3.344,4.5,1.0
TmY3,720575940629806710,36,25,"8, 7, 4, 3, 1, 1, 1",767,-12.56,-11,-14,-1.68,0,-3,-1.68,0.0,-3.0,-13.4,-12.5,-14.0
TmY3,720575940639812174,48,36,"8, 7, 7, 4, 4, 3, 1, 1, 1",772,-4.583,-2,-6,-1.694,0,-4,-1.694,0.0,-4.0,-5.431,-3.0,-6.5
TmY3,720575940618220061,37,27,"5, 5, 5, 4, 2, 2, 2, 1, 1",773,15.259,16,14,-11.222,-10,-12,-11.222,-10.0,-12.0,9.648,11.0,8.0
TmY3,720575940618242358,47,37,"7, 7, 7, 4, 4, 3, 2, 1, 1, 1",774,-10.73,-10,-12,16.189,18,15,16.189,18.0,15.0,-2.635,-1.5,-4.5
