cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Tm5b,720575940615236403,16,4,"2, 2",757,3.0,3,3,0.5,1,0,0.5,1.0,0.0,3.25,3.5,3.0
Tm5b,720575940622978380,17,6,"3, 2, 1",758,5.833,6,5,-10.5,-10,-11,-10.5,-10.0,-11.0,0.583,1.0,0.0
Tm5b,720575940631421714,14,5,"3, 2",766,4.0,4,4,-4.4,-4,-5,-4.4,-4.0,-5.0,1.8,2.0,1.5
Tm5b,720575940633136851,16,5,"2, 1, 1, 1",773,15.0,16,14,-11.4,-11,-12,-11.4,-11.0,-12.0,9.3,10.0,8.5
Tm5b,720575940613019885,18,0,,,,,,,,,,,,,,
Tm5b,720575940613024370,10,0,,,,,,,,,,,,,,
Tm5b,720575940618739358,16,0,,,,,,,,,,,,,,
Tm5b,720575940622944261,6,0,,,,,,,,,,,,,,
Tm5b,720575940627978513,9,0,,,,,,,,,,,,,,
Tm5b,720575940628998223,10,0,,,,,,,,,,,,,,
Tm5b,720575940644274848,6,0,,,,,,,,,,,,,,
